id;name;phone;email
1;Public-key;461-648-0193;Chloe.Ondricka42@gmail.com
2;sky blue Georgia;987-493-8957;Erick.Bogisich@hotmail.com
3;Tasty Plastic Pizza scale;(585) 392-6521;Princess1@gmail.com
4;deliverables reinvent 24 hour;817-777-7609;Mac_Buckridge85@yahoo.com
5;Highway Ergonomic;363.675.6285;Geovanny_Carter84@yahoo.com
6;hard drive Robust Networked;574-104-1208;Jarrell_Haley@yahoo.com
7;Corporate Phased relationships;229.052.6189 x6826;Saul.Klocko18@gmail.com
8;Human Ghana;183-391-2264 x08383;Casimir.Langosh@gmail.com
9;magenta Concrete;1-291-325-5743;Wanda.Funk25@gmail.com
10;Buckinghamshire capability zero tolerance;269-540-0239;Dawson53@yahoo.com
