id;name;phone;email
1;Shirt Mobility;1-800-449-9183 x672;Mertie90@yahoo.com
2;invoice;(087) 441-2631;Percival_Medhurst@hotmail.com
3;Communications Fresh;601.606.8471 x986;Orlando76@gmail.com
4;bypass;1-839-628-1173;Jedediah.Halvorson92@hotmail.com
5;Investment Account Faroe Islands;(790) 936-6150 x55746;Bonita_Klein@hotmail.com
6;Clothing yellow;159-982-9812 x2313;Brant79@yahoo.com
7;task-force Rubber;682.821.3613 x158;Constance32@yahoo.com
8;calculating;1-421-523-5126 x158;Jennifer_Wunsch@hotmail.com
9;robust;909-355-1704 x9225;Remington.Deckow31@yahoo.com
10;robust;(583) 436-9745 x5801;Verda23@yahoo.com
